Date,Close,High,Low,Open,Volume,Symbol,Company
2024-07-03,128.23948669433594,128.23948669433594,121.32167392885506,121.62158223669927,215749000,NVDA,NVIDIA Corporation
2024-07-05,125.7902603149414,128.8093107644133,125.64030616479143,127.33976619453144,214176700,NVDA,NVIDIA Corporation
2024-07-08,128.1595001220703,130.72869561210538,126.99987051805138,127.44972531770834,237677300,NVDA,NVIDIA Corporation
2024-07-09,131.33851623535156,133.77774814549483,128.60936736242857,130.30884272059,285366600,NVDA,NVIDIA Corporation
2024-07-10,134.86740112304688,135.0573435645553,132.37818193596397,133.98767413246904,248978600,NVDA,NVIDIA Corporation
2024-07-11,127.35977172851562,136.10700106603016,127.00988377533271,135.70713347781276,374782700,NVDA,NVIDIA Corporation
2024-07-12,129.19920349121094,131.87835007397342,127.17983694866928,128.2195019014201,252680500,NVDA,NVIDIA Corporation
2024-07-15,128.39944458007812,131.34850999947517,127.13984031827107,130.5187702604364,208326200,NVDA,NVIDIA Corporation
2024-07-16,126.3200912475586,128.99923747826654,124.54065466054338,128.39943613379464,214769500,NVDA,NVIDIA Corporation
2024-07-17,117.9527359008789,121.81151749943197,116.68314033051901,121.31167540248971,390086200,NVDA,NVIDIA Corporation
2024-07-18,121.05175018310547,122.36134160725938,116.52318219941294,121.81151227341788,320979500,NVDA,NVIDIA Corporation
2024-07-19,117.89276123046875,121.56160051418016,117.33294050381654,120.31199523005621,217223800,NVDA,NVIDIA Corporation
2024-07-22,123.50099182128906,124.03082324772716,119.82215351609416,120.31199665772752,258068900,NVDA,NVIDIA Corporation
2024-07-23,122.55127716064453,124.65061999218881,122.06143405921047,122.74121959113289,173911000,NVDA,NVIDIA Corporation
2024-07-24,114.21391296386719,119.91210950952006,113.404171251323,119.13235710085017,327776900,NVDA,NVIDIA Corporation
2024-07-25,112.24453735351562,116.59316196631043,106.26643028982559,113.00429945804284,460067000,NVDA,NVIDIA Corporation
2024-07-26,113.02428436279297,116.16329189488403,111.54475613373563,116.15330054509556,293399100,NVDA,NVIDIA Corporation
2024-07-29,111.55475616455078,116.24327750097967,111.26485445843416,113.65409908515099,248152100,NVDA,NVIDIA Corporation
2024-07-30,103.6972427368164,111.95462852357666,102.50761612898444,111.48477574142504,486833300,NVDA,NVIDIA Corporation
2024-07-31,116.9830322265625,118.3026149583043,110.84497234726514,112.86433853836043,473174200,NVDA,NVIDIA Corporation
2024-08-01,109.1755142211914,120.12206115379604,106.77627053548454,117.49288673851923,523462300,NVDA,NVIDIA Corporation
2024-08-02,107.23611450195312,108.68566108330708,101.33798416873923,103.72722865674588,482027500,NVDA,NVIDIA Corporation
2024-08-05,100.41827392578125,103.37734584261189,90.66136171396138,92.03092417423306,552842400,NVDA,NVIDIA Corporation
2024-08-06,104.21707153320312,107.67597774031395,100.51824326819028,103.80719737509351,409012100,NVDA,NVIDIA Corporation
2024-08-07,98.87876892089844,108.76564515252367,98.65883717427215,107.7759522927054,411440400,NVDA,NVIDIA Corporation
2024-08-08,104.93685150146484,105.4666829061735,97.48919964896103,101.96778821260376,391910000,NVDA,NVIDIA Corporation
2024-08-09,104.7169189453125,106.5663331721716,103.39733611905241,105.60663726461745,290844200,NVDA,NVIDIA Corporation
2024-08-12,108.9855728149414,111.03492856386595,106.22644979571741,106.28642840966148,325559900,NVDA,NVIDIA Corporation
2024-08-13,116.10331726074219,116.19329280080893,111.54475995028979,112.4044889345572,312646700,NVDA,NVIDIA Corporation
2024-08-14,118.04270935058594,118.56254176631195,114.03397366865786,118.49256417906065,339246400,NVDA,NVIDIA Corporation
2024-08-15,122.82120513916016,123.20108240094191,117.43290774825016,118.722501320516,318086700,NVDA,NVIDIA Corporation
2024-08-16,124.5406494140625,124.96051491369623,121.14172188301305,121.901483949244,302589900,NVDA,NVIDIA Corporation
2024-08-19,129.95895385742188,129.95895385742188,123.38102959323889,124.24075866737762,318333600,NVDA,NVIDIA Corporation
2024-08-20,127.20980834960938,129.8389825507969,125.85023729264927,128.3594390228903,300087400,NVDA,NVIDIA Corporation
2024-08-21,128.4594268798828,129.30916459896468,126.62001151002669,127.27979915287139,257883600,NVDA,NVIDIA Corporation
2024-08-22,123.70092010498047,130.70870844472378,123.06112283059149,129.97894325377314,376189100,NVDA,NVIDIA Corporation
2024-08-23,129.32913208007812,129.5590704147264,125.18044900805843,125.8202462463596,323230300,NVDA,NVIDIA Corporation
2024-08-26,126.42005920410156,131.21853864319473,124.33072295006603,129.52908520948145,331964700,NVDA,NVIDIA Corporation
2024-08-27,128.25949096679688,129.15920068067538,123.84088083210607,125.01051718872198,303134600,NVDA,NVIDIA Corporation
2024-08-28,125.5703353881836,128.28947768481862,122.60127203673997,128.07953728703234,448101100,NVDA,NVIDIA Corporation
2024-08-29,117.55286407470703,124.39070812333074,116.67314470453282,121.32167786502487,453023300,NVDA,NVIDIA Corporation
2024-08-30,119.33230590820312,121.71155156264531,117.18298334905096,119.49225141445028,333751600,NVDA,NVIDIA Corporation
2024-09-03,107.96588897705078,116.17329499238285,107.25611414068058,115.97336121173781,477155100,NVDA,NVIDIA Corporation
2024-09-04,106.17645263671875,113.23422029378455,104.08711642455602,105.37670989305681,372470300,NVDA,NVIDIA Corporation
2024-09-05,107.17613983154297,109.61537166703076,104.7269166457022,104.9568397355808,306850700,NVDA,NVIDIA Corporation
2024-09-06,102.79753112792969,108.11585092265044,100.91811989560183,108.00588504727017,413638100,NVDA,NVIDIA Corporation
2024-09-09,106.4363784790039,106.51635504584455,103.65725761066608,104.84687662773341,273912000,NVDA,NVIDIA Corporation
2024-09-10,108.06585693359375,109.36544940156337,104.91685028196345,107.77594760990868,268283700,NVDA,NVIDIA Corporation
2024-09-11,116.87307739257812,117.15298773367408,107.38606933752642,109.35544832921772,441422400,NVDA,NVIDIA Corporation
2024-09-12,119.11256408691406,120.76218565399151,115.35342779588602,116.81309067491064,367100500,NVDA,NVIDIA Corporation
2024-09-13,119.07257080078125,119.93237336061968,117.57291623747761,119.0525787627644,238358300,NVDA,NVIDIA Corporation
2024-09-16,116.75310516357422,118.15278427890816,114.33366430325611,116.76310499638278,248772300,NVDA,NVIDIA Corporation
2024-09-17,115.5633773803711,118.77264486908852,114.80355789094266,118.14278506866847,231925900,NVDA,NVIDIA Corporation
2024-09-18,113.34388732910156,117.67288409225483,113.19392035691743,115.86330347677422,310318900,NVDA,NVIDIA Corporation
2024-09-19,117.84285736083984,119.63244604030882,117.22299740049117,117.32297284502805,293506400,NVDA,NVIDIA Corporation
2024-09-20,115.9732894897461,118.59268894658479,115.36342933997693,117.03304297010142,382462400,NVDA,NVIDIA Corporation
2024-09-23,116.23323059082031,116.96305822001592,114.83355144756428,116.52316472695202,206228500,NVDA,NVIDIA Corporation
2024-09-24,120.84217071533203,121.77195687475644,115.35342937374385,116.49316626237535,354966800,NVDA,NVIDIA Corporation
2024-09-25,123.48155975341797,124.91123075234002,121.58199576757475,121.99189738474502,284692900,NVDA,NVIDIA Corporation
2024-09-26,124.01143646240234,127.64059778478497,121.77195443476235,126.77080301373226,302582900,NVDA,NVIDIA Corporation
2024-09-27,121.3720474243164,124.00143908292871,119.23254080039722,123.94145533963831,271009200,NVDA,NVIDIA Corporation
2024-09-30,121.41203308105469,121.47201682135709,118.12278989954673,118.28274908289889,226553700,NVDA,NVIDIA Corporation
2024-10-01,116.97306060791016,122.4118104821477,115.76334012719617,121.7419589534566,302094500,NVDA,NVIDIA Corporation
2024-10-02,118.82262420654297,119.3525009132392,115.11347963203208,116.41318325903728,221845900,NVDA,NVIDIA Corporation
2024-10-03,122.82170867919922,124.33136309340041,120.31228454416183,120.89215281287986,277118000,NVDA,NVIDIA Corporation
2024-10-04,124.89122772216797,125.01120283080023,121.80194304435166,124.91122738742537,243678100,NVDA,NVIDIA Corporation
2024-10-07,127.69058990478516,130.60991565760295,124.92122350791122,124.96121521204213,346250200,NVDA,NVIDIA Corporation
2024-10-08,132.85939025878906,133.4492507002601,129.39018829854146,130.22999115642648,285722500,NVDA,NVIDIA Corporation
2024-10-09,132.6194305419922,134.4890100563581,131.349734141409,134.0791008615525,246191600,NVDA,NVIDIA Corporation
2024-10-10,134.77894592285156,134.9689045997989,130.96982594499002,131.87962000022492,242311300,NVDA,NVIDIA Corporation
2024-10-11,134.7689666748047,135.74873676795113,133.6292297588208,133.97914002159231,170209500,NVDA,NVIDIA Corporation
2024-10-14,138.03822326660156,139.5678698363904,136.26862645350758,136.43858548845338,232347700,NVDA,NVIDIA Corporation
2024-10-15,131.5697021484375,138.53809836462625,128.7103601195905,137.8382473516489,377831000,NVDA,NVIDIA Corporation
2024-10-16,135.68873596191406,136.58852253050404,131.5496902869071,133.94913130666296,264879700,NVDA,NVIDIA Corporation
2024-10-17,136.89846801757812,140.8575630403271,136.83848427190068,139.30791683746315,306435900,NVDA,NVIDIA Corporation
2024-10-18,137.9682159423828,138.86800255294065,137.24838055182667,138.63805979784692,176090200,NVDA,NVIDIA Corporation
2024-10-21,143.67691040039062,143.67691040039062,137.96821869705386,138.09819363983328,264554500,NVDA,NVIDIA Corporation
2024-10-22,143.55694580078125,144.3867565878425,141.74736485471627,142.8771096409394,226311600,NVDA,NVIDIA Corporation
2024-10-23,139.52786254882812,142.3971968224879,137.42835524686083,141.99729502838238,285930000,NVDA,NVIDIA Corporation
2024-10-24,140.37767028808594,141.31745626734755,138.4281223817854,140.78757953525755,172354900,NVDA,NVIDIA Corporation
2024-10-25,141.5074005126953,144.096815700832,140.76758067774944,140.89754036873228,205122100,NVDA,NVIDIA Corporation
2024-10-28,140.48765563964844,143.1070476166606,140.01776261632966,142.96708045579604,173586700,NVDA,NVIDIA Corporation
2024-10-29,141.21746826171875,142.22723015349655,138.86800339560858,140.25768265006158,157593600,NVDA,NVIDIA Corporation
2024-10-30,139.3079071044922,140.29768460484607,136.778490969974,139.50785799453917,179418100,NVDA,NVIDIA Corporation
2024-10-31,132.72943115234375,137.57832071125284,132.07958689426476,137.5683285053032,270039600,NVDA,NVIDIA Corporation
2024-11-01,135.3688201904297,137.27838410441936,134.5390247094388,134.66898440540822,207127800,NVDA,NVIDIA Corporation
2024-11-04,136.0186767578125,138.9280103748792,135.53879155204424,137.17841332242185,187528200,NVDA,NVIDIA Corporation
2024-11-05,139.87777709960938,140.33766260126754,137.29836954050154,137.41833701827767,160537400,NVDA,NVIDIA Corporation
2024-11-06,145.5764617919922,146.45626398045817,141.9273086103062,142.92707827709958,242043900,NVDA,NVIDIA Corporation
2024-11-07,148.84573364257812,148.8957099286715,146.1363507552026,146.35630133300918,207323300,NVDA,NVIDIA Corporation
2024-11-08,147.5959930419922,149.73549940640058,146.226298296804,148.73572979209249,175665800,NVDA,NVIDIA Corporation
2024-11-11,145.22653198242188,148.81571657335158,143.536934110279,148.64574231041613,182325600,NVDA,NVIDIA Corporation
2024-11-12,148.25582885742188,149.61551613817602,145.97635536546252,146.74618223717314,198634700,NVDA,NVIDIA Corporation
2024-11-13,146.23631286621094,149.29560559389023,145.8663877173454,149.03567097343083,191903300,NVDA,NVIDIA Corporation
2024-11-14,146.72618103027344,148.96567042657134,145.51646835701078,147.6059831601179,194463300,NVDA,NVIDIA Corporation
2024-11-15,141.94729614257812,145.20655509140138,140.04773983599173,144.83662993296312,250132900,NVDA,NVIDIA Corporation
2024-11-18,140.11770629882812,141.51739292157006,137.11839743544738,139.46786214720512,221866000,NVDA,NVIDIA Corporation
2024-11-19,146.97613525390625,147.0961179891657,140.9575327604593,141.28745858569204,227834900,NVDA,NVIDIA Corporation
2024-11-20,145.8563995361328,147.52601308862683,142.69712365290204,147.37605373716247,309871700,NVDA,NVIDIA Corporation
2024-11-21,146.63623046875,152.85479966423284,140.6676037159947,149.3156213875326,400946600,NVDA,NVIDIA Corporation
2024-11-22,141.91729736328125,147.1261039006014,141.06750232234785,145.89637625946256,236406200,NVDA,NVIDIA Corporation
2024-11-25,135.98867797851562,142.01728800977313,135.78872709087477,141.95730426900835,344941900,NVDA,NVIDIA Corporation
2024-11-26,136.8884735107422,139.2679304177918,135.6387613125482,137.66829270199315,190287700,NVDA,NVIDIA Corporation
2024-11-27,135.30882263183594,137.1883944813901,131.7696447344509,134.97889681216265,226370900,NVDA,NVIDIA Corporation
2024-11-29,138.21817016601562,139.3179230108574,136.018679731608,136.74850738939793,141863200,NVDA,NVIDIA Corporation
2024-12-02,138.5980682373047,140.41764102523763,137.7882572804853,138.79801911159885,171682800,NVDA,NVIDIA Corporation
2024-12-03,140.2277069091797,140.50764123326277,137.91824110785586,138.22816730557096,164414000,NVDA,NVIDIA Corporation
2024-12-04,145.10658264160156,145.75642688476938,140.25769319395386,141.9673061992379,231224300,NVDA,NVIDIA Corporation
2024-12-05,145.03659057617188,146.51634749056768,143.9267690762933,145.08658555940238,172621200,NVDA,NVIDIA Corporation
2024-12-06,142.41700744628906,145.67647567148725,141.2871849873485,144.57666240527564,188505600,NVDA,NVIDIA Corporation
2024-12-09,138.78758239746094,139.92739769900004,137.10786100838232,138.9475602220375,189308600,NVDA,NVIDIA Corporation
2024-12-10,135.04820251464844,141.79711283924593,133.76839511357173,138.9875536517665,210020900,NVDA,NVIDIA Corporation
2024-12-11,139.28750610351562,140.14736786765778,135.1881771980721,137.3378239802647,184905200,NVDA,NVIDIA Corporation
2024-12-12,137.3178253173828,138.41765384511186,135.77808063488797,137.05787278188586,159211400,NVDA,NVIDIA Corporation
2024-12-13,134.22833251953125,139.5774751507731,132.51860179476702,138.91757801094644,231514900,NVDA,NVIDIA Corporation
2024-12-16,131.9786834716797,134.3782897959075,130.39893679330513,134.1583241029487,237951100,NVDA,NVIDIA Corporation
2024-12-17,130.36895751953125,131.56876081657285,126.83952839876781,129.06916425760008,259410300,NVDA,NVIDIA Corporation
2024-12-18,128.88919067382812,136.6779262372523,128.25928750759206,133.83838842708505,277444500,NVDA,NVIDIA Corporation
2024-12-19,130.6588897705078,134.00835489709178,129.52908262326224,131.73871719708123,209719200,NVDA,NVIDIA Corporation
2024-12-20,134.67825317382812,135.2581613788304,128.19930347129645,129.78904314606552,306528600,NVDA,NVIDIA Corporation
2024-12-23,139.64744567871094,139.7674214203078,135.098177315152,136.25799367167244,176053500,NVDA,NVIDIA Corporation
2024-12-24,140.19737243652344,141.8770939941236,138.6276184809867,139.97740671974344,105157000,NVDA,NVIDIA Corporation
2024-12-26,139.90740966796875,140.8272746166671,137.70776777261636,139.67745105895742,116205600,NVDA,NVIDIA Corporation
2024-12-27,136.98788452148438,138.99756992182031,134.68826788900355,138.52764454755555,170582600,NVDA,NVIDIA Corporation
2024-12-30,137.46780395507812,140.24735382720857,133.9983630613892,134.80822982362736,167734700,NVDA,NVIDIA Corporation
